Identifier,Repeat no,Display Name,Device identifier,Instance,Submission Date,Submitter,Duration,Form version,4.1 What is the level of E. coli in the water? - Health Risk Category (Based on MPN and Confidence Interval),MPN(MPN/100ml),Upper 95% Confidence Interval,4.1 What is the level of E. coli in the water? --Image
trv5-ku60-1888,1,thome secondary borehole,WB RM 4,147390001,03-09-2018 06:09:01 UTC,Diana Gachoka,00:00:57,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/643b16b5-e07f-4abd-a317-e97d34e3095f.jpg
s3ds-yeeu-xb34,1,Thome Secondary School tank,WB RM 4,129880001,03-09-2018 06:13:44 UTC,Diana Gachoka,00:00:08,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/4058de2e-d307-4570-9a3e-c66b565005c7.jpg
h1e1-hypj-drmj,1,yard green tech borehole,WB RM 4,110960001,03-09-2018 06:14:00 UTC,Diana Gachoka,00:00:24,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/f2b31468-dcce-49d5-b8bf-7ad8f280a7eb.jpg
sqtt-9fce-kwjp,1,njoguini/sweetwaters borehole,WB RM 4,115840002,03-09-2018 06:14:47 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/05e33b52-2ff7-4307-b683-38ab3baa2b82.jpg
42tw-aec0-ypab,1,matanya borehole water project,WB RM 4,135750001,03-09-2018 06:16:00 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/708fea5c-3fc5-42ba-b395-7d603d354945.jpg
92ym-ru2g-yxb4,1,Marura Dispensary Hand Pump,WB RM 4,141780002,03-09-2018 06:17:19 UTC,Diana Gachoka,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/f57d863f-dc1f-4452-aa7f-af2e90954766.jpg
t9ba-175e-7g24,1,Weruini Primary hand pump,WB RM 4,125810004,03-09-2018 06:18:05 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/b3933a8e-dfc0-4d39-941d-6971086b3628.jpg
r9f8-b10t-dsm,1,tighithi secondary tank,WB RM 4,127790005,03-09-2018 06:28:45 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/80848f7f-6e92-4825-be6a-8d7eab56745b.jpg
h1pr-dpcd-sc08,1,chuma borehole,WB RM 4,131670004,03-09-2018 06:31:12 UTC,Diana Gachoka,00:00:06,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/7472ccc5-2eb2-4bea-9206-7fe1a3e283a4.jpg
vums-x6t3-1jgq,1,mainge tanks,WB RM 4,127770007,03-09-2018 06:33:32 UTC,Diana Gachoka,00:00:04,,Intermediate Risk / Possibly Safe,9.6,37.68,https://akvoflow-140.s3.amazonaws.com/images/1edf4831-d39f-43fc-8983-f0827bdc362f.jpg
yf5w-1p14-3nkk,1,Mainge farm borehole,WB RM 4,135730006,03-09-2018 06:34:28 UTC,Diana Gachoka,00:00:04,,Intermediate Risk / Probably Safe,1.2,5.64,https://akvoflow-140.s3.amazonaws.com/images/fc2649a1-1b43-4ee8-867f-f514c5219a1a.jpg
uav5-7kgs-nfhn,1,Mirera Borehole,WB RM 4,117590006,03-09-2018 06:35:36 UTC,Diana Gachoka,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/dc984604-6a69-46b4-98e0-046aa299487d.jpg
354d-p487-ncba,1,sweetwaters market borehole,WB RM 4,110970002,03-09-2018 06:37:04 UTC,Diana Gachoka,00:00:04,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/c7dd0ab4-cb2f-4fdf-9b5c-5473e662868b.jpg
s71s-rn39-72ub,1,Alime farm borehole,WB RM 4,119660008,03-09-2018 06:38:23 UTC,Diana Gachoka,00:00:07,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/25b03354-9bc2-4e28-9ac5-0028628c6987.jpg
1und-05hj-brch,1,Mburugutia hand pump,WB RM 4,141790006,03-09-2018 06:38:57 UTC,Diana Gachoka,00:00:17,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/6a2f7949-4714-4823-a94f-28ea7e5b86a5.jpg
2cw5-bf10-k1u3,1,mwakinya handpump,WB RM 4,114010005,06-09-2018 06:00:27 UTC,Diana Gachoka,00:00:12,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/0da15c37-deff-4aea-8c51-65efe65c0628.jpg
4wbs-4r6k-fmen,1,Riacho community water project,WB RM 4,137560009,06-09-2018 06:02:23 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/901b6c2d-48a3-4f63-bfb9-b8719ed87a8a.jpg
m7q9-2j00-4p9s,1,Nyakio community water system,WB RM 4,135780031,06-09-2018 06:04:13 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/1b54f451-3794-4e9a-b6fd-1623acb9ee59.jpg
ax40-esjc-rjxr,1,Thome- kiburuti (Male) Borehole project,WB RM 4,115870012,06-09-2018 06:06:07 UTC,Diana Gachoka,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/fffaeb78-17ec-4f0e-bd60-27261beb92a9.jpg
muua-k5v5-w1je,1,Thuo farm borehole,WB RM 4,123980005,06-09-2018 06:07:52 UTC,Diana Gachoka,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/199ab582-947c-412b-9f90-1175650508cc.jpg
4ujt-hrve-5pf5,1,Malek secondary standpipe,WB RM 4,141860035,06-09-2018 06:10:22 UTC,Diana Gachoka,00:00:04,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/a1bd1ded-a11e-46d2-b1c9-57e7ad75b5e0.jpg
xahn-2ndp-793x,1,Kiambiriria Hand pump,WB RM 4,129910028,06-09-2018 06:12:26 UTC,Diana Gachoka,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/10042d55-e2e6-4677-9216-f54bb625e9e3.jpg
uqm5-cuvt-xnka,1,Nyambogichi water project,WB RM 4,117640001,07-09-2018 06:53:45 UTC,Diana Gachoka,00:00:22,,Intermediate Risk / Probably Safe,1,4.74,https://akvoflow-140.s3.amazonaws.com/images/18bcf649-da6f-4b58-96e9-b2612b0c76db.jpg
agje-8dcs-k2dk,1,Shalom Suguroi water project,WB RM 4,119690001,07-09-2018 06:54:48 UTC,Diana Gachoka,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/74203cbd-51b4-4eb5-98a7-8ff1cb38868d.jpg
6fwy-jgkr-6wwr,1,Makutano Ngobit spring,WB RM 4,111790002,07-09-2018 06:56:18 UTC,Diana Gachoka,00:00:18,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/715452cd-26c5-4e7b-bb76-8ae1241c377a.jpg
x63q-4f2x-nvrc,1,Samuel Gitau water tank,WB RM 4,137580002,07-09-2018 06:57:55 UTC,Diana Gachoka,00:00:03,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/dab20937-5d0f-499d-b57e-2c744aa7510b.jpg
tpm3-n7we-xx2y,1,Ihiga-ini water project,WB RM 4,127830003,07-09-2018 06:58:52 UTC,Diana Gachoka,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/6fdfe21d-b96a-4534-a998-26bcdecf069a.jpg
rpu3-hp8m-fkdr,1,Munyaka borehole windmill,WB RM Monda,127860001,10-09-2018 05:31:54 UTC,Edson Monda,00:00:13,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/874492f0-555d-4ad4-ae89-10e7a7c3dbb0.jpg
vwh4-e0qq-mdmc,1,Gachoro Borehole,WB RM 20,111820001,10-09-2018 05:34:13 UTC,LaikipiaCounty1,00:00:11,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/ff555b8d-5886-4fe3-ba91-58dcffddd8b0.jpg
61dp-9187-ws32,1,Withare dam,WB RM 20,141950001,10-09-2018 05:35:22 UTC,LaikipiaCounty1,00:00:04,4,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/0d7209d6-d3d2-414a-a647-4b0cc09b66fd.jpg
