status_group,id
1,69572
1,8776
1,34310
3,67743
1,19728
1,9944
3,19816
3,54551
3,53934
1,46144
1,49056
1,50409
1,36957
1,50495
1,53752
1,61848
3,48451
3,58155
2,34169
1,18274
1,48375
1,6091
2,58500
1,37862
1,51058
2,22308
1,55012
1,20145
3,19685
1,69124
1,46804
1,6696
2,57238
1,12402
1,41583
3,57355
3,67359
1,60048
1,16583
3,25
1,70238
1,12796
1,52019
3,19282
2,1843
3,12958
2,45111
1,13620
1,18864
1,25182
1,3228
3,19308
1,10745
3,32376
1,9417
3,68724
1,74197
3,22961
1,24593
2,31714
1,29952
3,40393
2,2127
3,8265
1,67433
3,51072
1,34255
3,22108
3,4720
3,54801
3,21990
3,17386
3,41609
3,35715
1,53970
3,62971
1,63542
1,15622
3,12903
1,52561
1,19415
2,65531
1,3675
1,34383
3,30423
3,68717
1,3688
3,30537
3,27312
2,22143
2,43237
3,62591
3,39920
1,70892
3,48593
1,26419
3,68554
1,29083
2,33379
3,43206
3,41743
1,17970
1,25693
2,39364
1,57580
1,23000
1,59902
3,60371
3,74246
1,7116
3,64063
1,59983
1,10784
1,49503
3,54248
3,24409
1,21068
3,62341
1,10837
3,35458
3,36038
1,64447
3,22897
1,2915
1,14016
3,69525
1,73061
1,42031
3,33235
3,41839
1,62002
1,6106
1,25915
1,20673
1,59475
1,24012
3,69107
3,64062
1,44002
1,37471
3,49585
1,60852
3,64130
1,17687
3,38876
1,28669
2,73769
1,66521
3,53167
1,24232
1,65788
1,72981
3,60983
3,37768
1,64880
3,32871
1,45564
2,23519
1,50173
1,66843
1,13815
3,36591
1,71845
1,42180
1,63632
1,55594
1,11787
3,48528
1,72678
1,50970
1,37840
3,44258
1,10715
1,12120
3,67980
1,41635
1,14884
3,56725
1,33037
3,22190
1,47459
1,68908
1,62670
3,60866
1,2136
1,33320
3,58126
1,45604
2,67428
1,52318
3,33347
1,36684
1,41034
3,112
1,4807
1,41845
1,6065
3,37187
3,26540
2,8879
1,30377
3,20203
1,8060
1,59630
2,10068
3,34609
1,26701
1,46897
3,34636
1,52520
3,75
3,31626
3,3181
3,43098
2,37008
3,34853
2,48752
1,31132
1,37562
2,28740
1,30257
2,53212
3,40729
1,48695
3,35140
1,46814
1,7721
1,63695
1,7171
1,58838
1,61046
3,68347
2,14746
3,14952
3,64334
3,72374
3,33169
2,4907
2,49994
3,59588
3,46893
3,16944
3,35828
3,24377
1,51694
3,70241
1,1780
1,39490
1,21704
3,35193
1,24948
1,6076
3,18451
2,13042
1,34877
3,10891
3,33500
3,1012
1,4321
3,41162
3,31957
3,15815
3,47462
3,28110
1,52448
3,18832
2,62720
1,14326
1,36933
1,65093
3,50139
3,36455
1,49732
1,20200
1,43777
3,42497
1,52601
3,65530
1,73024
2,18842
1,9474
1,44434
1,36366
3,47236
2,8633
1,71487
3,46268
1,36093
1,2591
3,69669
3,67377
3,51185
1,24049
1,70835
1,74176
1,68037
3,10992
3,45886
3,64793
3,40808
1,62565
1,70379
1,10089
3,37364
1,43345
3,39310
1,59713
